bullet_rating,bullet_wins,bullet_losses,bullet_draws,blitz_rating,blitz_wins,blitz_losses,blitz_draws,rapid_rating,rapid_wins,rapid_losses,rapid_draws,daily_rating,daily_wins,daily_losses,daily_draws
982,45,54,0,999,514,529,35,,,,,,,,
,,,,1137,3,1,1,1098,79,77,12,,,,
1530,51,43,4,1888,394,363,19,1611,4,2,0,1085,679,1145,15
770,127,107,1,950,628,660,24,,,,,,,,
,,,,582,130,127,4,,,,,,,,
554,0,5,0,1019,15,17,3,1252,19,9,1,1339,51,33,8
,,,,1008,326,313,24,,,,,,,,
1042,0,1,0,985,28,32,5,968,6,7,0,950,0,2,0
950,168,151,2,1203,1202,1139,95,1344,144,122,6,1470,23,6,0
674,144,150,1,532,35,48,3,954,246,207,24,1038,123,235,3
900,1,3,0,1370,1,1,0,1082,0,1,0,1309,6,1,0
,,,,838,17,18,5,,,,,1123,1,0,0
1069,66,52,3,1410,312,243,19,1292,11,5,2,Unrated,0,10,0
1439,337,311,24,1623,540,487,82,1657,9,3,2,1537,27,13,4
807,13,23,0,1461,1319,1228,89,1513,499,433,39,954,0,1,0
668,12,16,1,712,94,148,9,995,121,123,11,1242,7,3,1
,,,,1023,781,778,96,,,,,Unrated,0,1,0
,,,,,,,,1219,2,1,0,1538,87,42,12
,,,,1067,1,3,0,,,,,,,,
1216,1,0,0,,,,,695,2,6,0,854,2,4,0
611,10,18,0,1106,734,664,46,1453,1,1,0,1026,5,6,0
1057,41,35,1,1349,676,573,32,1405,28,13,2,1076,4,0,0
1111,395,363,14,1316,5130,5065,301,1488,1135,1088,91,1311,599,508,35
1389,4,6,0,1543,88,70,16,1703,16,6,2,Unrated,0,1,0
875,10,5,0,1023,88,69,7,1227,10,8,2,947,1,2,0
,,,,,,,,665,2,2,0,,,,
1162,17,19,2,1133,127,120,16,1661,14,0,0,1279,13,6,0
1391,818,733,42,1410,1408,1279,133,1220,2,2,0,1012,7,13,0
855,21,21,0,974,281,276,24,,,,,,,,
734,0,4,0,939,8,11,0,,,,,Unrated,1,7,0
1456,44,25,1,1321,277,106,17,1615,26,6,0,1623,43,30,10
,,,,1281,15,19,1,1353,15,12,2,1063,61,115,3
,,,,708,0,2,0,,,,,,,,
557,17,26,0,905,12,11,1,1189,155,103,20,959,0,1,0
1802,2372,2229,108,1940,4580,4140,335,1695,7,3,0,995,4,6,0
,,,,977,0,1,0,1204,0,1,0,1078,2112,3018,132
763,134,200,3,651,472,684,59,680,43,127,25,666,1,9,0
912,15,17,0,1214,2007,2658,95,1387,1,1,0,1371,766,848,77
791,91,108,1,976,46,43,2,1200,0,1,0,,,,
,,,,962,10,6,0,1181,59,41,3,1121,36,63,1
921,160,163,2,1078,301,288,22,1400,4,4,0,1187,29,33,2
1705,11,3,0,1980,198,121,11,,,,,,,,
1401,2844,2741,165,1358,25,12,1,,,,,1176,2,0,0
,,,,680,6,9,0,,,,,,,,
1012,14,20,1,1231,4729,4647,255,1590,5,1,1,1209,2,4,1
1008,30,28,0,1208,347,318,22,1241,266,234,22,808,4,3,1
1028,0,2,0,1188,40,36,1,1213,0,1,0,1006,1,1,0
628,3,12,0,958,745,761,50,1128,2,2,0,754,1,3,0
627,2,12,0,956,455,532,34,1041,4,8,0,,,,
561,0,8,0,825,465,487,11,1206,129,120,0,960,1055,1797,29
,,,,808,117,123,3,1002,2,1,0,1196,1,0,0
805,0,1,0,667,149,157,10,1188,1,0,0,,,,
1386,352,305,9,1280,1528,1585,147,1285,8,14,3,1487,151,80,7
1387,14,14,0,1404,1414,1340,90,1528,4,2,1,1137,794,615,27
1299,344,288,16,1390,730,651,57,,,,,1422,3,3,0
856,651,637,9,1228,1837,1761,73,942,11,6,0,Unrated,1,0,0
555,3,8,0,706,146,155,15,987,1,2,2,,,,
1088,1,1,0,1211,925,918,50,1392,17,10,0,1374,45,28,3
745,0,2,0,1130,10322,10117,320,,,,,,,,
,,,,760,3,7,0,1069,0,1,0,922,0,3,0
,,,,965,118,124,12,,,,,,,,
1243,267,185,12,1085,270,235,30,934,19,24,0,946,1,0,0
1191,300,286,4,1401,208,179,9,1470,83,75,6,1166,53,49,1
,,,,,,,,,,,,1480,2,1,0
